,Model,Brand,Fuel_type,Running_in_kms,Engine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Car_Price,Location,Car_age
3066,Alto K10,Maruti,Petrol,9029,998,Automatic,23.95,5,Grey,67.1,Ventilated Disc,Drum,1475,1490,3545,1210,145,403000,Delhi_NCR,3
3067,Swift Dzire,Maruti,Petrol,17550,1197,Manual,21.21,5,Other,81.8,Disc,Drum,1515,1735,3995,1315,,675000,Delhi_NCR,1
3068,Ecosport,Ford,Diesel,91401,1498,Manual,22.7,5,Silver,89.84,Ventilated Disc,Drum,1708,1765,3999,1740,182,418000,Delhi_NCR,8
3069,Ciaz,Maruti,Petrol,43559,1373,Manual,20.73,5,Other,91.1,Ventilated Disc,Drum,1485,1730,4490,1490,190,625000,Delhi_NCR,4
3070,Swift,Maruti,Petrol,97358,1197,Manual,18.6,5,White,85.8,Ventilated Disc,Drum,1530,1695,3850,1415,160,322000,Delhi_NCR,9
3071,Swift,Maruti,Diesel,43951,1248,Manual,28.4,5,Other,74,Disc,Drum,1530,1735,3840,1405,,430000,Delhi_NCR,6
3072,Ecosport,Ford,Diesel,83321,1498,Manual,22.7,5,Black,89.84,Ventilated Disc,Drum,1708,1765,3999,1740,182,503000,Delhi_NCR,7
3073,Swift,Maruti,Petrol,52952,1197,Manual,22,5,White,81.8,Disc,Drum,1530,1735,3840,1315,,392000,Delhi_NCR,6
3074,Swift,Maruti,Petrol,23372,1197,Manual,20.4,5,Grey,81.8,Ventilated Disc,Drum,1530,1735,3840,1315,165,440000,Delhi_NCR,4
3075,Swift Dzire,Maruti,Diesel,54025,1248,Manual,23.4,5,Other,74,Ventilated Disc,Drum,1555,1695,3995,1505,,413000,Delhi_NCR,8
3076,Swift Dzire,Maruti,Petrol,38694,1197,Manual,22,5,Blue,81.8,Ventilated Disc,Drum,1515,1735,3995,1315,,579000,Delhi_NCR,3
3077,Ciaz,Maruti,Diesel,59715,1248,Manual,28.09,5,Other,88.5,Ventilated Disc,Drum,1485,1730,4490,1595,190,528000,Delhi_NCR,5
3078,Swift,Maruti,Diesel,88976,1248,Manual,28.4,5,Grey,74,Disc,Drum,1530,1735,3840,1405,,369000,Delhi_NCR,6
3079,Wagon R Stingray,Maruti,Petrol,61825,998,Manual,20.51,5,Grey,67.04,Ventilated Disc,Drum,1670,1475,3636,1350,150,298000,Delhi_NCR,8
3080,Grand i10,Hyundai,Petrol,46901,1197,Manual,18.9,5,Other,81.86,Disc,Drum,1520,1660,3765,,,438000,Delhi_NCR,5
3081,Polo,Volkswagen,Petrol,58398,1197,Automatic,17.21,5,White,103.6,Disc,Drum,1469,1682,3971,1580,190,518000,Delhi_NCR,7
3082,Baleno,Maruti,Petrol,66216,1197,Manual,21.4,5,White,83.1,Disc,Drum,1510,1745,3995,1340,180,605000,Delhi_NCR,3
3083,Swift,Maruti,Diesel,74496,1248,Manual,22.9,5,Other,74,Ventilated Disc,Drum,1530,1695,3850,1505,154,303000,Delhi_NCR,8
